sku,nombre_producto,categoria_subcategoria,precio_lista,peso,proveedor,descripcion,stock_disponible,fecha_alta,activo
PROD-00509,Laptops Suffer 199,Electrónica > Laptops,"$ 5,757.99",3.01 kg,"Rocha, Gollum y Aguilera",Voice happen actually purpose public how mission put budget house reason within scientist throughout.,218.0,2019-12-24,1
sku_00510,Smartphones Concern 140,Electrónica > Smartphones,"$ 5,467.92",0.79 kg,Industrias Arellano-Verduzco,Hair current customer such identify do interesting material.,491.0,2019-11-05,1
P-00511,Televisores Southern 969,Electrónica > Televisores,"$ 24,934.81",7.09 kg,Olivas S. R.L. de C.V.,Order series song wall green project wear would memory challenge lawyer business majority discuss wall ahead.,121.0,2019-02-24,1
P-00512,Audio Sing 708,Electrónica > Audio,"$ 8,228.35",28.37 kg,Chacón-Alemán A.C.,Store marriage ago condition painting force few.,5.0,2022-10-15,0
SKU-00513,Accesorios Moda Price 730,Moda > Accesorios Moda,"$ 16,512.82",8.3 kg,Proyectos Negrete-Carrillo,Set produce mind man letter family marriage measure.,458.0,2020-03-22,0
sku_00514,Cocina Occur 829,Hogar > Cocina,"$ 14,419.99",7.14 kg,Club Osorio y Valentín,Special music adult shake wrong they budget late table kind along computer.,58.0,2019-04-05,1
SKU-00515,Decoración Receive 834,Hogar > Decoración,"$ 22,606.85",26.26 kg,"Proyectos Lucero, Sotelo y Gonzales",Those clearly issue fine home shake notice make network much like.,298.0,2024-03-14,1
PROD-00516,Ropa Mujer Or 803,Moda > Ropa Mujer,"$ 1,183.77",5.48 kg,Yáñez S. R.L. de C.V.,,19.0,2019-10-13,1
PROD-00517,Decoración Too 408,Hogar > Decoración,"$ 2,771.81",4.11 kg,Mota y Rangel A.C.,Media hot manager wife pay good within fly agreement.,214.0,2024-05-29,1
sku_00518,Smartphones Answer 519,Electrónica > Smartphones,"$ 6,536.63",0.22 kg,"Corporacin Peña, Valencia y Gamez",Student give score agree through game best generation group.,195.0,2022-07-21,0
SKU-00519,Audio Have 737,Electrónica > Audio,"$ 3,843.32",21.51 kg,Corporacin Henríquez-Caldera,Product easy possible or travel assume figure front.,389.0,2020-06-14,0
SKU-00520,Muebles Again 200,Hogar > Muebles,"$ 15,489.38",3.04 kg,Saavedra-Ledesma,For leave tell nothing top entire receive onto worry help hope occur space beyond push.,392.0,2020-09-02,0
SKU-00521,Smartphones Great 993,Electrónica > Smartphones,"$ 2,334.28",14.45 kg,Zúñiga-Valentín e Hijos,Me share fund pass guy job market suggest skin subject movie explain answer you.,150.0,2022-03-26,1
P-00522,Smartphones Interest 614,Electrónica > Smartphones,"$ 23,525.11",18.4 kg,Segura-Aguilar,Person when response official option event note most interview girl.,170.0,2021-10-26,1
PROD-00523,Laptops Ball 244,Electrónica > Laptops,"$ 20,322.25",8.54 kg,"Club Cervantes, Armas y Colunga",Measure feel professional finish increase economy middle public natural thing physical.,68.0,2022-09-12,1
00524,Limpieza Name 126,Hogar > Limpieza,"$ 3,483.86",10.86 kg,Fuentes y Adame S. R.L. de C.V.,Officer defense while score level view mouth pass shoulder.,263.0,2023-01-01,1
sku_00525,Televisores Leader 474,Electrónica > Televisores,"$ 6,152.20",24.99 kg,Valverde y Ramírez S.A. de C.V.,Risk art customer leg drive second she such improve team treat plant suffer environment expert.,285.0,2019-11-23,1
00526,Cocina College 712,Hogar > Cocina,"$ 20,003.16",1.88 kg,Nieto-Mendoza,Rather door draw change agree someone financial magazine yard instead town.,430.0,2023-06-10,1
PROD-00527,Calzado Defense 977,Moda > Calzado,"$ 1,897.60",5.08 kg,Proyectos Arenas-Camarillo,Evening ahead smile everyone nearly popular amount reveal site.,130.0,2021-02-06,1
PROD-00528,Muebles Around 574,Hogar > Muebles,"$ 10,975.23",9.45 kg,"Delgadillo, Quezada y Salazar",Finish fear as western to public though however.,365.0,2022-07-28,0
SKU-00529,Cocina Those 354,Hogar > Cocina,"$ 8,035.83",5.14 kg,Proyectos Garibay-Henríquez,,147.0,2023-06-21,1
P-00530,Jardín Shake 317,Hogar > Jardín,"$ 10,430.37",2.01 kg,Sandoval-Alcántar S.A.,Door number matter building professional oil simple moment market.,391.0,2020-06-29,1
P-00531,Accesorios Moda Believe 536,Moda > Accesorios Moda,"$ 15,645.60",16.82 kg,Industrias Leyva-Marrero,Outside significant finish strategy say south season very design blood.,222.0,2023-01-22,1
P-00532,Muebles Difficult 988,Hogar > Muebles,"$ 24,464.44",2.92 kg,"Industrias Solano, Barrera y Meza",Keep effect operation make hear we first interest radio white these.,255.0,2019-10-13,1
P-00533,Accesorios Write 989,Electrónica > Accesorios,"$ 11,707.54",27.48 kg,Mata-Villanueva S.A.,Guy resource start again whom paper success production wait.,414.0,2023-12-22,1
sku_00534,Cocina Rock 646,Hogar > Cocina,"$ 23,819.19",28.03 kg,Botello S.A.,Education his police red total rate movement door kind account.,426.0,2020-03-23,1
PROD-00535,Ropa Mujer Increase 555,Moda > Ropa Mujer,"$ 3,843.53",25.59 kg,"Niño, Castillo y Concepción",Feeling view series father teacher civil keep first speech popular smile.,79.0,2019-03-24,1
PROD-00536,Laptops Eye 926,Electrónica > Laptops,"$ 20,585.07",24.02 kg,Villanueva y Benítez S.A. de C.V.,Statement wait likely include subject response theory star.,261.0,2023-10-14,0
sku_00537,Audio Thank 622,Electrónica > Audio,"$ 21,618.63",4.08 kg,Proyectos Garica-Cordero,Recognize media goal own spend scene law agree appear.,424.0,2024-02-23,1
00538,Televisores Put 833,Electrónica > Televisores,"$ 1,627.82",17.4 kg,"Delgado, Piña y Polanco",Picture social carry husband pick finish bank citizen might.,206.0,2022-12-06,1
00539,Limpieza Special 749,Hogar > Limpieza,"$ 20,272.23",15.5 kg,Proyectos Marroquín y Arguello,Suggest rate society floor long same end reach step.,494.0,2022-04-22,0
P-00540,Audio Successful 617,Electrónica > Audio,"$ 7,608.72",15.62 kg,Bernal-Chacón A.C.,Cup increase consider then war this difference way type positive phone.,300.0,2021-08-06,1
sku_00541,Jardín What 136,Hogar > Jardín,"$ 8,059.07",22.32 kg,Carrero-Saavedra,Wind cup red collection husband investment employee become.,120.0,2023-04-04,1
00542,Decoración Hold 162,Hogar > Decoración,"$ 1,492.86",6.38 kg,Melgar y Cruz e Hijos,Water bring responsibility itself turn law purpose budget require.,293.0,2021-10-11,1
sku_00543,Accesorios Cut 702,Electrónica > Accesorios,"$ 18,575.27",22.57 kg,Tijerina-Bustos,Explain management candidate task outside yet executive quality industry impact certainly.,357.0,2024-04-10,0
SKU-00544,Jardín Fill 111,Hogar > Jardín,"$ 23,577.72",16.24 kg,"Despacho Girón, Aponte y Rosas",Dog late eat old positive beat light the window huge defense.,191.0,2021-01-25,1
SKU-00545,Smartphones Identify 508,Electrónica > Smartphones,"$ 19,722.92",18.39 kg,Aparicio y Escalante S. R.L. de C.V.,Save eight believe arrive four dog traditional you vote whose our security animal.,38.0,2019-12-15,1
SKU-00546,Ropa Mujer Environment 923,Moda > Ropa Mujer,"$ 12,216.86",26.29 kg,Serna-Rosales S.C.,People few house he whose nice oil employee mean us there car fish most.,386.0,2024-02-26,1
SKU-00547,Accesorios Change 108,Electrónica > Accesorios,"$ 24,455.18",7.71 kg,Narváez-Munguía y Asociados,Bring analysis campaign the strong security unit executive theory party seven.,363.0,2024-04-19,1
SKU-00548,Audio Everything 849,Electrónica > Audio,"$ 5,017.29",24.25 kg,Coronado-Ferrer,Fine throughout firm yes shake character table price sometimes apply chance discover along employee relationship.,116.0,2019-09-15,0
sku_00549,Laptops Least 369,Electrónica > Laptops,"$ 6,880.26",20.02 kg,Rodríguez-Gaitán,Yet until American ground remember magazine manage suffer.,287.0,2019-12-10,0
SKU-00550,Televisores Trial 666,Electrónica > Televisores,"$ 2,484.28",12.21 kg,Club Gamboa-Guerra,Buy behavior test Congress collection meet evening through one.,,2023-12-14,1
PROD-00551,Limpieza Past 131,Hogar > Limpieza,"$ 21,027.59",20.26 kg,Corporacin Castillo y Pacheco,Moment number indicate baby should quality thought.,341.0,2021-04-12,0
PROD-00552,Accesorios Moda Agree 576,Moda > Accesorios Moda,"$ 8,855.91",29.73 kg,Maestas-Maestas,,100.0,2022-06-21,0
SKU-00553,Accesorios Moda Feel 677,Moda > Accesorios Moda,"$ 13,858.50",5.38 kg,"Lara, Esparza y Leiva",Hour opportunity week student child ball store process law.,398.0,2021-03-06,1
P-00554,Laptops Exist 584,Electrónica > Laptops,"$ 17,519.59",6.63 kg,Valenzuela-Cervantes,Price forget analysis performance laugh water yourself trade someone can tell soon executive sometimes season natural.,306.0,2021-11-01,1
P-00555,Cocina Play 154,Hogar > Cocina,"$ 5,279.90",13.53 kg,"Bahena, del Río y Salcedo",Begin effort drive side human after decade home I positive west child.,406.0,2023-06-01,1
SKU-00556,Accesorios Moda Fire 844,Moda > Accesorios Moda,"$ 6,592.10",29.39 kg,"Delgadillo, Amaya y Maestas",Song save TV tough page grow benefit happen customer knowledge hold environmental outside bed.,65.0,2022-01-23,0
SKU-00557,Limpieza Knowledge 575,Hogar > Limpieza,"$ 15,763.27",6.71 kg,"Corporacin Padrón, Alonzo y Leal",Pass its international American game less difference rather choice manager picture modern.,350.0,2023-07-04,0
PROD-00558,Accesorios Fill 874,Electrónica > Accesorios,"$ 11,700.01",3.38 kg,Carrillo-Páez,Join trade local chance campaign total success mission far answer baby and blue interesting.,394.0,2021-04-27,1
PROD-00559,Accesorios Moda Between 159,Moda > Accesorios Moda,"$ 1,086.68",0.3 kg,Valdés y Granado S.C.,Produce nothing effect effort bank me box product conference consider hotel bar theory fear.,124.0,2021-11-29,1
SKU-00560,Infantil People 998,Moda > Infantil,"$ 17,126.99",21.31 kg,Nazario y Pulido y Asociados,Serious last space game truth special decision back word else pull its adult house.,250.0,2024-01-21,1
SKU-00561,Muebles Add 270,Hogar > Muebles,"$ 11,823.51",10.6 kg,Viera S.C.,Pretty least if price season rise field spend pattern.,42.0,2022-08-02,1
sku_00562,Infantil Rock 565,Moda > Infantil,"$ 3,235.05",12.8 kg,Naranjo y Asociados,Source because career course staff receive could agree loss certain drop success teach.,255.0,2020-04-06,0
P-00563,Accesorios Nothing 625,Electrónica > Accesorios,"$ 8,311.31",4.58 kg,Proyectos Santillán y Viera,Beat show challenge instead bring total school knowledge machine after.,,2021-01-27,1
sku_00564,Ropa Hombre Listen 854,Moda > Ropa Hombre,"$ 23,540.02",24.31 kg,Correa-Irizarry S.C.,Drug far stop hot free bill summer it indeed many official room yourself already hundred message.,290.0,2019-02-07,1
P-00565,Limpieza Share 982,Hogar > Limpieza,"$ 24,340.49",29.58 kg,Barrera y Asociados,Very toward test discussion art affect office network environmental possible threat bring performance position large job.,465.0,2021-10-09,1
sku_00566,Accesorios Moda Color 580,Moda > Accesorios Moda,$ 872.25,16.57 kg,Montemayor-Zambrano,Risk light just medical onto rate two table resource life third.,221.0,2021-11-07,1
SKU-00567,Televisores Several 700,Electrónica > Televisores,"$ 2,817.39",24.85 kg,Laboratorios Griego-García,Where strategy pull same somebody son suddenly perform executive see project can current.,202.0,2020-05-14,1
P-00568,Cocina Police 853,Hogar > Cocina,"$ 6,470.79",18.05 kg,Téllez-Rincón S.C.,,170.0,2023-11-07,1
SKU-00569,Ropa Mujer Million 631,Moda > Ropa Mujer,"$ 23,423.17",4.28 kg,"Corporacin Vásquez, Lozada y Negrón",Soldier wall management doctor news yourself grow end.,105.0,2020-06-21,1
PROD-00570,Ropa Mujer Research 224,Moda > Ropa Mujer,$ 727.82,17.1 kg,Partida y Rosario e Hijos,Company teacher me southern front box dinner no main.,278.0,2019-03-10,1
sku_00571,Ropa Hombre Grow 815,Moda > Ropa Hombre,"$ 13,850.95",18.88 kg,Armendáriz-Valdivia S.C.,Show show news to table them page bit anyone watch sometimes while.,156.0,2023-01-17,1
SKU-00572,Jardín Someone 141,Hogar > Jardín,"$ 18,429.27",10.97 kg,Reyes S. R.L. de C.V.,Window sit participant teach big none medical cold.,,2022-01-16,1
00573,Calzado Buy 635,Moda > Calzado,"$ 4,660.39",0.4 kg,Barragán-de la Rosa S.A.,Treat church factor kid media run between positive free case.,375.0,2021-11-10,1
sku_00574,Smartphones Thus 853,Electrónica > Smartphones,,26.17 kg,"Industrias Tafoya, Nazario y Olivas",Keep indeed shoulder early speak game measure be head senior.,289.0,2021-03-27,1
SKU-00575,Accesorios Herself 491,Electrónica > Accesorios,"$ 10,005.52",22.44 kg,Proyectos Casares-Meza,Professor charge send instead direction soon including important learn system some gun ahead certainly act south.,118.0,2024-03-31,1
sku_00576,Accesorios Yet 582,Electrónica > Accesorios,"$ 12,834.57",10.52 kg,Portillo-Becerra S. R.L. de C.V.,Be fire word clearly article service produce political.,58.0,2020-06-21,0
SKU-00577,Muebles Weight 932,Hogar > Muebles,"$ 21,494.76",25.75 kg,Medina-Archuleta,Around place require produce mind fast I race network fight sea training account evidence month.,298.0,2020-08-16,1
sku_00578,Decoración Wife 791,Hogar > Decoración,,0.21 kg,Laboratorios Armas-Ávila,Record land day name small present recently thought sit.,90.0,2022-03-07,1
SKU-00579,Infantil Interview 949,Moda > Infantil,"$ 10,047.36",17.74 kg,Menéndez y Chavarría S.A.,Thing base Mr hope rest they minute must degree memory.,220.0,2022-01-14,1
sku_00580,Infantil Forget 951,Moda > Infantil,"$ 17,180.00",27.97 kg,Casárez-Tovar e Hijos,Future player age three music else strategy fight institution measure rule success employee medical buy.,219.0,2022-10-25,1
PROD-00581,Accesorios Something 949,Electrónica > Accesorios,"$ 14,733.50",2.45 kg,Mateo-Romero,Large occur accept fund door second ok research visit.,,2023-01-22,1
00582,Ropa Mujer Reduce 341,Moda > Ropa Mujer,"$ 9,647.76",6.05 kg,Cardona y Hurtado S.C.,Suddenly doctor federal project spring of cause help scene black might court sing lawyer chair.,408.0,2023-04-28,1
P-00583,Ropa Hombre Large 336,Moda > Ropa Hombre,"$ 19,985.69",2.24 kg,Adame-Ávila,Bank artist thousand live land hard moment open million house enough material interest.,497.0,2020-08-02,1
PROD-00584,Audio Less 259,Electrónica > Audio,"$ 21,072.13",21.76 kg,Díaz A.C.,,42.0,2022-11-05,1
P-00585,Ropa Mujer Risk 827,Moda > Ropa Mujer,"$ 7,946.60",15.62 kg,"Grupo Serna, Padrón y Alejandro",Rule indicate clear media machine leader whose message more reason lay allow church next.,122.0,2022-12-26,1
00586,Limpieza Will 154,Hogar > Limpieza,"$ 22,899.48",5.31 kg,Industrias Delgado-Aguilar,Own impact building occur American check he yard field.,20.0,2022-02-20,1
P-00587,Cocina Mention 176,Hogar > Cocina,"$ 11,853.86",27.73 kg,"Corporacin Zamora, Bustos y Estévez",Social central operation any thus threat democratic.,312.0,2024-05-25,1
SKU-00588,Cocina Tell 649,Hogar > Cocina,"$ 24,911.94",14.47 kg,Proyectos Yáñez-Valencia,Able natural attack and loss finally laugh full help strong street car catch PM.,417.0,2024-04-25,1
SKU-00589,Audio Sort 219,Electrónica > Audio,"$ 7,522.99",26.7 kg,"Jimínez, Alvarez y Alonzo",Project chance road become person perhaps hold too fund animal provide kitchen everyone because.,227.0,2024-04-10,1
SKU-00590,Televisores Company 919,Electrónica > Televisores,"$ 1,844.52",8.87 kg,Industrias Saavedra-Vela,Occur someone religious night buy nice court.,229.0,2022-12-04,1
P-00591,Televisores Present 314,Electrónica > Televisores,"$ 9,616.36",3.84 kg,Montalvo-Robles y Asociados,Officer apply now country live to build view conference affect skill early relationship thought know.,301.0,2024-02-13,1
00592,Smartphones Surface 329,Electrónica > Smartphones,"$ 7,826.28",16.3 kg,Grupo Orellana-Cervantes,Parent I and technology age join increase teacher fish either boy between collection century eight.,164.0,2023-02-19,0
sku_00593,Accesorios Behind 530,Electrónica > Accesorios,"$ 10,153.59",25.8 kg,Chacón-Montemayor S.A. de C.V.,Fill imagine college pass foot agree around hope floor.,495.0,2022-10-20,1
PROD-00594,Decoración Itself 109,Hogar > Decoración,$ 893.08,2.12 kg,Narváez-Tafoya S. R.L. de C.V.,Election walk tonight appear dream others door meet mean we especially five.,100.0,2022-03-20,1
00595,Calzado On 249,Moda > Calzado,"$ 24,487.11",25.92 kg,"Páez, Alcántar y Vela",Assume ahead plant trial affect never only big several prepare by nothing land.,,2019-12-14,1
sku_00596,Smartphones Throughout 974,Electrónica > Smartphones,"$ 4,478.37",15.82 kg,Despacho Ojeda y Ceja,Data whose health world site Mr interest treatment later a let stop eye will.,300.0,2023-06-14,0
PROD-00597,Jardín A 446,Hogar > Jardín,"$ 5,634.39",1.48 kg,"Despacho Ochoa, Corrales y Soliz",Value lot our style herself goal place one.,,2019-05-05,0
00598,Ropa Mujer Mrs 392,Moda > Ropa Mujer,,29.26 kg,Proyectos Córdova y del Río,Animal school none feel house but cause news evidence it particular.,255.0,2019-04-27,1
SKU-00599,Ropa Hombre Suffer 545,Moda > Ropa Hombre,"$ 4,842.65",16.33 kg,Corporacin Solorzano y Madera,This war play woman remain event production focus decision where foreign trial.,211.0,2019-02-14,1
00600,Laptops Cell 172,Electrónica > Laptops,"$ 8,130.31",0.7 kg,"Ybarra, Alejandro y Guevara",Participant above act community new recent major.,37.0,2022-11-19,0
PROD-00601,Audio Increase 285,Electrónica > Audio,"$ 15,591.99",3.03 kg,Corporacin Zavala-Salas,Ball theory prepare much throughout staff knowledge but will heavy over hit stuff speech worker.,129.0,2022-09-07,1
SKU-00602,Accesorios Moda Capital 747,Moda > Accesorios Moda,"$ 21,397.70",27.96 kg,"Espino, Quiñones y Valdivia",Have cover act sea serve quite remember course staff personal space determine woman whose.,400.0,2019-08-30,1
PROD-00603,Calzado Although 372,Moda > Calzado,"$ 22,172.68",29.64 kg,Laboratorios Laureano y Varela,Manage region paper according worker point book everyone matter color create.,468.0,2020-05-16,1
P-00604,Accesorios Moda Single 547,Moda > Accesorios Moda,"$ 12,371.52",19.32 kg,Crespo-Roldán,Public owner compare open second camera value talk thing rock ever summer age wide question.,45.0,2019-05-08,1
P-00605,Limpieza Possible 234,Hogar > Limpieza,"$ 4,681.84",1.92 kg,Esparza A.C.,Quite third ability interview pull practice take follow such imagine business.,71.0,2019-02-25,0
PROD-00606,Smartphones National 587,Electrónica > Smartphones,"$ 3,974.54",29.78 kg,"Industrias Flórez, Corona y Ponce",Many military analysis return another truth mother first hot free they space wrong difficult.,335.0,2020-03-02,0
SKU-00607,Limpieza Road 354,Hogar > Limpieza,"$ 7,596.75",7.37 kg,Escalante-Maestas y Asociados,When true culture forget as personal agreement it agency something various subject east.,422.0,2024-01-05,1
sku_00608,Televisores Material 691,Electrónica > Televisores,"$ 21,064.58",27.64 kg,"Quiñónez, Apodaca y de la O",When strategy start mind door authority outside just believe land.,,2020-06-06,1
PROD-00609,Accesorios Moda Capital 257,Moda > Accesorios Moda,"$ 20,884.23",24.55 kg,"Grupo Castillo, Sauceda y Escalante",Window true help three really site artist sort.,136.0,2023-05-23,0
PROD-00610,Infantil Around 764,Moda > Infantil,"$ 5,235.73",8.14 kg,"Corporacin Espinal, Juárez y Negrón",Particularly it big argue appear sure I pay in ten skin.,159.0,2022-01-04,1
PROD-00611,Smartphones Price 997,Electrónica > Smartphones,"$ 21,987.42",17.4 kg,Corporacin Zedillo y Dueñas,Law less into per big prepare put.,461.0,2024-01-21,1
sku_00612,Ropa Hombre Agree 906,Moda > Ropa Hombre,"$ 6,653.81",20.99 kg,Salinas y Pizarro y Asociados,Military onto blue activity require or subject toward call meeting green loss per control.,190.0,2022-07-06,1
sku_00613,Ropa Hombre Certain 614,Moda > Ropa Hombre,"$ 10,479.32",28.55 kg,Club Nevárez-Cortés,Art find job where senior find those.,52.0,2023-07-24,1
PROD-00614,Infantil Stand 253,Moda > Infantil,$ 975.08,21.86 kg,Esparza A.C.,Challenge final garden hard account only question arm medical.,288.0,2023-11-18,1
00615,Accesorios Moda Thing 709,Moda > Accesorios Moda,"$ 11,438.12",25.78 kg,Ulloa S.C.,Teach instead crime customer training size game property reason word outside former official white pattern.,441.0,2020-05-25,0
PROD-00616,Infantil Kid 114,Moda > Infantil,"$ 19,169.42",28.61 kg,Proyectos Gaytán-Caraballo,Class lawyer smile among detail about development discover perhaps dream same weight.,125.0,2023-12-24,0
SKU-00617,Smartphones Glass 631,Electrónica > Smartphones,"$ 22,310.18",27.43 kg,Raya y Hurtado y Asociados,Day contain wrong guy available air boy fact create one she analysis.,217.0,2019-01-11,0
P-00618,Accesorios All 735,Electrónica > Accesorios,$ 629.12,9.23 kg,Orta S.A.,Cup company those responsibility fund never condition again successful treat.,172.0,2019-11-14,1
PROD-00619,Jardín Against 779,Hogar > Jardín,"$ 9,663.05",6.23 kg,Cavazos y de la Rosa S. R.L. de C.V.,Her skin book very figure drive special produce wait.,56.0,2020-06-12,1
SKU-00620,Calzado Successful 208,Moda > Calzado,"$ 16,909.84",26.09 kg,Fajardo y Urrutia e Hijos,Think there assume certain under some court her hear outside with each animal pattern country movement.,178.0,2021-11-15,1
SKU-00621,Decoración Strategy 596,Hogar > Decoración,"$ 9,372.11",15.42 kg,"Corporacin Benavides, Cardenas y Ochoa",Foreign apply somebody their surface why though decide bank.,345.0,2019-07-03,1
00622,Ropa Hombre Many 820,Moda > Ropa Hombre,"$ 2,736.26",13.75 kg,Jaimes-Cardenas,Ask meet seem population meeting material less focus hear reason resource manager environmental husband TV once.,383.0,2019-08-22,1
P-00623,Limpieza Although 749,Hogar > Limpieza,"$ 1,161.32",19.0 kg,Proyectos Meraz y Zedillo,Detail data tell how fill thousand number very hear nearly.,18.0,2019-01-04,1
P-00624,Accesorios Center 507,Electrónica > Accesorios,"$ 10,922.75",28.75 kg,Portillo y Nava S.C.,Far million discover American mention from later it.,190.0,2020-01-31,1
00625,Infantil Hold 889,Moda > Infantil,"$ 24,190.29",24.07 kg,Grupo Concepción y Rangel,First him conference doctor population grow bar successful mention poor skill unit better author.,213.0,2021-09-07,0
SKU-00626,Smartphones American 534,Electrónica > Smartphones,"$ 7,774.61",28.66 kg,"Despacho Brito, Barela y Delgadillo",Customer cultural forget few spring raise ever relationship your your sell science treatment across federal.,28.0,2019-03-24,0
00627,Televisores Test 509,Electrónica > Televisores,"$ 5,542.30",17.74 kg,Lozada-Colunga S.C.,Situation identify if oil pretty line mention seven chance however dinner see.,14.0,2020-12-29,1
SKU-00628,Cocina Matter 160,Hogar > Cocina,"$ 4,494.32",11.3 kg,Corporacin Fuentes-Olivo,Middle skill serious reveal left social fine could show recently.,452.0,2019-09-23,1
SKU-00629,Accesorios Moda Determine 830,Moda > Accesorios Moda,"$ 6,079.05",19.87 kg,Rodríguez y Rivera S.A.,,396.0,2023-05-14,1
SKU-00630,Ropa Hombre Leg 445,Moda > Ropa Hombre,"$ 22,360.55",15.03 kg,Garica-Saldivar y Asociados,,499.0,2023-10-09,1
SKU-00631,Decoración Listen 945,Hogar > Decoración,"$ 19,016.16",27.42 kg,Nava-Pérez,Air catch them figure scene matter probably great different international sell several real federal only.,139.0,2019-05-20,1
sku_00632,Limpieza Out 258,Hogar > Limpieza,"$ 20,760.88",3.0 kg,Grupo Villagómez-Bueno,Two child well form picture owner part.,414.0,2019-12-04,0
PROD-00633,Decoración Trial 715,Hogar > Decoración,"$ 16,265.96",26.04 kg,Laboratorios Marrero-Cabán,Woman daughter hospital move could board notice later thus behavior bit need allow.,,2022-10-30,1
P-00634,Limpieza Risk 576,Hogar > Limpieza,$ 191.22,29.47 kg,Grupo Gallegos-Osorio,Major cost attorney white exist do process attorney arm million commercial teacher improve church book movie.,407.0,2022-07-22,1
sku_00635,Smartphones Mean 709,Electrónica > Smartphones,"$ 9,071.81",11.48 kg,Ríos S.A.,Home tough deal that finally stand professor city.,354.0,2020-09-17,1
PROD-00636,Smartphones Paper 814,Electrónica > Smartphones,"$ 3,182.15",2.94 kg,Estrada-Soria,Onto maybe range every account central ask human space moment travel.,10.0,2019-08-06,1
00637,Muebles Until 355,Hogar > Muebles,"$ 21,298.63",18.91 kg,Laboratorios Canales y Montenegro,Least office say explain thing lead red Republican father party special compare eat tonight.,436.0,2020-10-21,1
SKU-00638,Ropa Mujer Significant 311,Moda > Ropa Mujer,"$ 17,251.38",16.54 kg,Proyectos Escamilla y Zambrano,Leader treat contain notice hour watch dream that event physical factor trouble recently.,347.0,2021-10-16,1
PROD-00639,Accesorios Moda Seven 280,Moda > Accesorios Moda,"$ 21,359.46",4.39 kg,Proyectos Alonzo-Amador,Training in seven building hard sense mean single improve close.,426.0,2019-09-17,1
sku_00640,Smartphones Despite 870,Electrónica > Smartphones,"$ 6,966.44",22.42 kg,"Laboratorios Canales, Archuleta y Mateo",And ago police put left gas human create also economy remember carry prove less.,347.0,2020-06-09,1
sku_00641,Muebles Main 280,Hogar > Muebles,"$ 8,687.65",13.19 kg,"Meza, Blanco y Negrete",Bar prevent require just likely evidence claim stuff.,399.0,2019-11-10,1
sku_00642,Televisores Policy 722,Electrónica > Televisores,"$ 20,144.73",18.3 kg,Velasco-Linares,Concern buy scientist collection provide action event key.,151.0,2021-05-17,1
PROD-00643,Muebles Could 408,Hogar > Muebles,"$ 9,278.63",16.75 kg,Corral-Garay S.C.,Research throughout mother kind answer play mission production process bill.,294.0,2022-07-08,1
sku_00644,Ropa Mujer Road 378,Moda > Ropa Mujer,"$ 12,697.66",4.83 kg,"Corporacin Portillo, Lozano y Apodaca",Know our any help cut economic training customer administration agreement address.,367.0,2023-02-28,1
00645,Laptops Tend 738,Electrónica > Laptops,"$ 22,185.09",17.16 kg,Quiroz-Lozano,Quite as when benefit structure professional right analysis mention spring.,289.0,2020-06-23,1
SKU-00646,Decoración Future 640,Hogar > Decoración,"$ 1,079.65",5.03 kg,Alva S.A.,Phone person various house into discussion black follow address pressure activity defense detail price everything.,198.0,2021-11-03,1
P-00647,Smartphones Price 685,Electrónica > Smartphones,"$ 3,038.34",2.89 kg,Club Contreras-Viera,Analysis those in should matter wrong Republican social two notice edge behind.,45.0,2023-09-25,1
SKU-00648,Ropa Mujer Garden 352,Moda > Ropa Mujer,"$ 9,016.78",13.69 kg,Industrias Alonzo y Griego,Recent question win really forward play this fish surface lot friend part one him political discussion.,191.0,2020-03-16,1
PROD-00649,Decoración People 255,Hogar > Decoración,"$ 4,359.97",21.25 kg,"Proyectos Henríquez, Mayorga y Cantú",Discussion pattern to final scene serious people.,,2024-04-06,1
PROD-00650,Accesorios Moda As 536,Moda > Accesorios Moda,"$ 18,009.48",9.7 kg,Industrias Zamudio y Meraz,Hear father charge daughter also type our watch school.,40.0,2024-05-10,0
SKU-00651,Accesorios Get 207,Electrónica > Accesorios,"$ 24,782.40",24.54 kg,Villalobos y Asociados,Everything poor set minute within possible eye agency suggest.,108.0,2022-06-10,1
sku_00652,Accesorios Moda Glass 794,Moda > Accesorios Moda,"$ 7,080.78",26.58 kg,"Proyectos Granado, Alcaraz y Soto",Drug much trade professor eat reach rest part high focus kind accept.,283.0,2023-01-09,1
SKU-00653,Cocina True 555,Hogar > Cocina,"$ 8,151.38",11.66 kg,del Río A.C.,Attorney court plant center daughter begin or story use door back right find return.,482.0,2019-04-06,0
SKU-00654,Accesorios Election 453,Electrónica > Accesorios,"$ 5,907.87",29.72 kg,Proyectos Jimínez-Estrada,Computer eat experience large player even sit bag win huge cold kid measure.,8.0,2024-04-22,0
SKU-00655,Smartphones Simple 968,Electrónica > Smartphones,"$ 15,119.30",28.99 kg,Tovar y Rendón A.C.,Set standard soldier after high take serve TV organization check risk either less.,118.0,2022-05-18,1
PROD-00656,Accesorios Long 757,Electrónica > Accesorios,"$ 14,448.72",27.39 kg,Reyna-Amador,Heart paper author carry light choice couple actually may rise man.,285.0,2020-01-16,1
SKU-00657,Accesorios Wish 347,Electrónica > Accesorios,"$ 22,642.34",27.49 kg,"Despacho Delgadillo, Rocha y Alcaraz",Wait wife health majority political open impact although TV his not create job.,409.0,2019-12-20,1
